code collectivite,LIBGEO,dsu,dsr,dnp,solde_fpic,fsrif,perequations,recette_avantp,MONTANT,avantp_hab,apresp_hab
76040,Autigny,0,16061,6149,-2297,0,19913,205326.87,225239.87,658.0989423076923,721.9226602564103
76041,Les Hauts-de-Caux,0,11624,9522,0,0,21146,425350.68,446496.68,604.1913068181818,634.2282386363636
76042,Auvilliers,0,6801,0,0,0,6801,81364.74,88165.74,683.7373109243698,740.8885714285715
76043,Auzebosc,0,41044,39448,0,0,80492,550080.27,630572.27,393.75824624194706,451.3759985683608
76045,Auzouville-l'Esneval,0,17316,17238,0,0,34554,308976.54,343530.54,828.3553351206434,920.9934048257372
76046,Auzouville-sur-Ry,0,31937,32025,0,0,63962,342702.41,406664.41,486.1027092198581,576.8289503546099
76047,Auzouville-sur-Saâne,0,3281,1002,0,0,4283,132619.36,136902.36,834.0840251572326,861.0211320754717
76048,Avesnes-en-Bray,0,9949,0,0,0,9949,185248.47,195197.47,586.2293354430379,617.7135126582278
76049,Avesnes-en-Val,0,14876,0,-49,0,14827,150701.34,165528.34,552.0195604395605,606.3309157509158
76050,Avremesnil,0,34113,18811,0,0,52924,526650.91,579574.91,502.52949427480917,553.0294942748092
76051,Bacqueville-en-Caux,0,184858,54229,0,0,239087,1090317.79,1329404.79,566.6932380457381,690.9588305613306
76052,Bailleul-Neuville,0,14571,0,0,0,14571,135192.62,149763.62,675.9630999999999,748.8181
76053,Baillolet,0,4783,0,0,0,4783,95347.4,100130.4,874.7467889908256,918.6275229357798
76054,Bailly-en-Rivière,0,27991,16668,3546,0,48205,300443.09,348648.09,564.7426503759399,655.353552631579
76055,Baons-le-Comte,0,6901,1088,0,0,7989,212959.64,220948.64,569.4108021390375,590.7717647058824
76056,Bardouville,0,12879,6512,15688,0,35079,388496.84,423575.84,579.8460298507463,632.2027462686567
76057,Barentin,1534369,0,54614,0,0,1588983,16283890.5,17872873.5,1322.7106246446267,1451.7808057834457
76058,Baromesnil,0,4996,4671,4328,0,13995,150584.12,164579.12,627.4338333333333,685.7463333333333
76059,Bazinval,0,18972,19395,0,0,38367,211676.36,250043.36,513.777572815534,606.9013592233009
76060,Beaubec-la-Rosière,0,25470,0,0,0,25470,201227.71,226697.71,398.4707128712871,448.90635643564354
76062,Beaumont-le-Hareng,0,12133,7675,0,0,19808,124474.53,144282.53,488.13541176470585,565.8138431372549
76063,Beauval-en-Caux,0,28660,21469,0,0,50129,406439.13,456568.13,804.8299603960396,904.095306930693
76064,Beaurepaire,0,18905,0,0,0,18905,196939.54,215844.54,397.0555241935484,435.17044354838714
76065,Beaussault,0,22787,0,0,0,22787,222179.49,244966.49,532.8045323741007,587.4496163069545
76066,Beautot,0,3048,0,0,0,3048,127277.62,130325.62,1010.1398412698412,1034.3303174603175
76067,Beauvoir-en-Lyons,0,14902,15547,0,0,30449,442586.17,473035.17,683.0033487654321,729.9925462962963
76068,Bec-de-Mortagne,0,32585,22718,0,0,55303,310368.14,365671.14,439.6149291784703,517.947790368272
76069,Belbeuf,0,18360,0,0,0,18360,1905480.52,1923840.52,927.2411289537713,936.1754355231144
76070,Bellencombre,0,76785,28372,0,0,105157,392837.4,497994.4,570.9845930232558,723.8290697674419
76071,Bellengreville,0,19370,8484,-212,0,27642,220022.05,247664.05,466.1484110169491,524.7119703389831
76072,Belleville-en-Caux,0,30205,28748,0,0,58953,322282.52,381235.52,471.8631332357248,558.1779209370425
76074,La Bellière,0,1972,0,0,0,1972,48340.38,50312.38,863.2210714285713,898.4353571428571
76075,Belmesnil,0,18331,13486,0,0,31817,320531.1,352348.1,679.091313559322,746.5002118644068
76076,Bénarville,0,12838,7426,0,0,20264,128732.38,148996.38,502.860859375,582.017109375
76077,Bénesville,0,12340,4822,0,0,17162,147557.4,164719.4,745.239393939394,831.9161616161616
76079,Bénouville,0,7739,6189,0,0,13928,139047.73,152975.73,799.1248850574714,879.1708620689656
76082,Bernières,0,10226,0,-8771,0,1455,304829.94,306284.94,446.3103074670571,448.4406149341142
76083,Bertheauville,0,5512,0,0,0,5512,90983.65,96495.65,805.1650442477876,853.9438053097344
76084,Bertreville,0,6860,0,-589,0,6271,100598.46,106869.46,845.3652100840337,898.0626890756303
76085,Bertreville-Saint-Ouen,0,20085,11984,0,0,32069,194311.4,226380.4,526.5891598915989,613.4970189701897
76086,Bertrimont,0,3818,0,0,0,3818,346977.44,350795.44,1495.5924137931036,1512.0493103448275
76087,Berville-en-Caux,0,30492,29572,0,0,60064,237876.34999999998,297940.35,376.9831220285261,472.1717115689382
76088,Berville-sur-Seine,0,9475,0,10503,0,19978,409593.19,429571.19,721.1147711267606,756.2873063380282
76090,Beuzeville-la-Grenier,0,13774,0,0,0,13774,694720.97,708494.97,609.4043596491227,621.4868157894737
76091,Beuzeville-la-Guérard,0,6315,7662,-1774,0,12203,153395.74,165598.74,720.16779342723,777.4588732394366
76092,Beuzevillette,0,8991,0,0,0,8991,309189.37,318180.37,452.693074670571,465.8570571010249
76093,Bézancourt,0,9231,0,0,0,9231,234878.49,244109.49,656.0851675977653,681.8700837988827
76094,Bierville,0,12176,10670,0,0,22846,172416.14,195262.14,574.7204666666668,650.8738000000001
76095,Bihorel,0,93448,22220,123622,0,239290,8153732.619999999,8393022.62,969.5282544589774,997.9812865636146
76096,Biville-la-Baignarde,0,33193,30023,0,0,63216,338063.49,401279.49,509.13176204819274,604.3365813253012
76097,Biville-la-Rivière,0,1733,0,0,0,1733,125306.93,127039.93,1193.3993333333333,1209.9040952380951
76099,Blacqueville,0,33063,31033,0,0,64096,381637.89,445733.89,561.2321911764706,655.4910147058823
76100,Blainville-Crevon,0,56981,51694,0,0,108675,771034.09,879709.09,629.4155836734693,718.1298693877551
76101,Blangy-sur-Bresle,0,153899,0,0,0,153899,3605315.02,3759214.02,1189.8729438943894,1240.6646930693068
76103,Bonsecours,0,81481,61229,0,0,142710,5848403.35,5991113.35,889.0853374885983,910.7803815749468
76104,Blosseville,0,14236,7404,-2513,0,19127,199737.19,218864.19,663.5787043189368,727.1235548172757
76105,Le Bocasse,0,12059,7198,0,0,19257,490653.81,509910.81,703.9509469153516,731.5793543758967
76106,Bois-d'Ennebourg,0,24007,23091,0,0,47098,290976.48,338074.48,516.8321136767318,600.4875310834814
76107,Bois-Guilbert,0,17052,7482,0,0,24534,172429.14,196963.14,565.3414426229509,645.7807868852459
76108,Bois-Guillaume,0,0,0,164228,0,164228,10971998.16,11136226.16,811.298296362023,823.4417450458444
76108,Bois-Guillaume,0,0,0,164228,0,164228,10971998.16,11136226.16,811.298296362023,823.4417450458444
76109,Bois-Héroult,0,10592,6442,0,0,17034,106147.99,123181.99,541.5713775510204,628.4795408163266
76110,Bois-Himont,0,18444,3902,0,0,22346,407130.97,429476.97,864.3969639065817,911.8407006369426
76111,Bois-l'Évêque,0,22572,25771,0,0,48343,233697.09999999998,282040.1,439.2802631578947,530.1505639097744
76112,Le Bois-Robert,0,6478,8021,0,0,14499,215688.2,230187.2,636.248377581121,679.0182890855458
76113,Boissay,0,18079,16394,0,0,34473,178460.64,212933.64,472.1180952380953,563.316507936508
76114,Bolbec,709188,0,0,0,0,709188,15534486.63,16243674.63,1308.4978630390835,1368.2340490229112
76115,Bolleville,0,10991,0,0,0,10991,313421.08,324412.08,512.964124386252,530.9526677577742
76116,Boos,0,41278,0,57805,0,99083,2551095.75,2650178.75,734.974286949006,763.5202391241717
76117,Bordeaux-Saint-Clair,0,31902,20273,0,0,52175,346399.32,398574.32,510.9134513274336,587.8677286135693
76118,Bornambusc,0,15426,12016,0,0,27442,117520.51999999999,144962.52,445.1534848484848,549.1004545454545
76119,Bosc-Bérenger,0,9692,8327,0,0,18019,86159.19,104178.19,478.6621666666667,578.7677222222222
76120,Bosc-Bordel,0,23063,21214,0,0,44277,216215.06,260492.06,475.1979340659341,572.510021978022
76121,Bosc-Édeline,0,16386,15019,0,0,31405,187199.01,218604.01,527.3211549295775,615.7859436619718
76122,Callengeville,0,11039,0,0,0,11039,360130.73,371169.73,682.0657765151515,702.9729734848485
76123,Bosc-Guérard-Saint-Adrien,0,40375,35213,0,0,75588,614285.1,689873.1,658.3977491961415,739.4138263665594
76124,Bosc-Hyons,0,18553,0,0,0,18553,198885.16,217438.16,438.0730396475771,478.9386784140969
76125,Bosc-le-Hard,0,142994,41047,0,0,184041,1004775.45,1188816.45,670.2971647765177,793.0730153435624
76126,Bosc-Mesnil,0,7034,4084,0,0,11118,184480.85,195598.85,593.1860128617363,628.9352090032155
76128,Bosville,0,32757,17938,-1392,0,49303,434194.71,483497.71,739.6843441226576,823.6758262350937
76129,Boudeville,0,11627,5778,0,0,17405,172734.95,190139.95,799.6988425925927,880.2775462962964
